question_id,content,canonical_question,starter_answer,category,subcategory,response_type,item_type,language,evidence_reference,source_files,source_sections,readiness_status,metadata_json
ATTACH-00001,"tradedoubler.com 9 July 2020 GDPR FAQ This FAQ is made so that you can answer questions and fill in forms from advertisers and others (publishers, other colleagues) yourself. Please read this document carefully and check the questions before sending any GDPR related requests to Legal or DPO. Legal or DPO can’t reply to all GDPR related questions directly and some of the most frequent questions can be covered by the standard replies below. Question/Info Standard answer 1. What to do if advertiser sends me their own DPA and asks me to sign it? “Dear Advertiser, In order to become GDPR compliant we have developed a Tradedoubler standard Data Processing Agreement for Advertisers. This Personal Data Processing agreement (the “DPA”) is construed as an integral part of our signed Service Order. You can find our DPA on our website http://www.tradedoubler.com/en/gdpr- compliance/ . No re-approval or signature is required”. We do ask you to respect that we cannot manage or sign 2000 different versions of DPA´s with all our advertisers.",,,Attached Source Corpus,PDF | Downloads,document_chunk,chunk,en,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf - Page 1,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf,Page 1,Ready,"{""source_file"": ""GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_path"": ""C:\\Users\\harcol\\Downloads\\GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_type"": ""pdf"", ""unit_label"": ""Page 1"", ""unit_index"": 1, ""chunk_index"": 1, ""chunks_in_unit"": 3, ""page"": 1}"
ATTACH-00002,"m/en/gdpr- compliance/ . No re-approval or signature is required”. We do ask you to respect that we cannot manage or sign 2000 different versions of DPA´s with all our advertisers. We thank you for your understanding.” If they still insist and if important to TD (high annual GP) send to Legal for review. 2. What if advertiser ask me what personal data Tradedoubler handles on their behalf as their data processor We process and store end consumer cookie id, IP number and advertiser´s order numbers and their contact details (name, email address and phone no) 3. What if advertiser ask me for how long does Tradedoubler store our personal data? Cookie id and IP numbers are automatically deleted 6 weeks after last transaction (of user journey), order numbers are stored according to local bookkeeping laws and local tax legislation. The reasons behind that are that order numbers are the basis for our invoicing and publisher payments, audit traceability.",,,Attached Source Corpus,PDF | Downloads,document_chunk,chunk,en,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf - Page 1,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf,Page 1,Ready,"{""source_file"": ""GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_path"": ""C:\\Users\\harcol\\Downloads\\GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_type"": ""pdf"", ""unit_label"": ""Page 1"", ""unit_index"": 1, ""chunk_index"": 2, ""chunks_in_unit"": 3, ""page"": 1}"
ATTACH-00003,"ding to local bookkeeping laws and local tax legislation. The reasons behind that are that order numbers are the basis for our invoicing and publisher payments, audit traceability. Contact details are reviewed every six months after end of cooperation and deleted if not needed for account management (open invoices, debt collection) or future sales",,,Attached Source Corpus,PDF | Downloads,document_chunk,chunk,en,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf - Page 1,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf,Page 1,Ready,"{""source_file"": ""GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_path"": ""C:\\Users\\harcol\\Downloads\\GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_type"": ""pdf"", ""unit_label"": ""Page 1"", ""unit_index"": 1, ""chunk_index"": 3, ""chunks_in_unit"": 3, ""page"": 1}"
ATTACH-00004,"tradedoubler.com 4. What if advertiser ask me do you rely on legitimate interests as the basis for processing Personal Data? Yes. To fulfil advertiser service agreement, contractual relationship, business relations 5. Can you logically separate the storage of the Personal Data of EU and non-EU residents? No 6. Can you logically separate the storage of the Personal Data provided by one advertiser from Personal Data provided by your other advertisers? Yes 7. Do you transfer any advertiser personal data outside EU/EEC? No. Outsourced hosting solution with Evry, servers located in Sweden, Microsoft licenses and cloud services with data centers in Ireland and Amsterdam 8. Do you have sub-processors? Yes. A list of data processors can be provided upon request. 9. Do you have an appointed DPO? Yes. Nick Morris, nick.morris@tradedoubler.com 10. Are your staff under any form of confidentiality clauses? Yes. Included in employment agreements that have to be signed by every employee at time of employment. Also confidentiality clauses in our advertiser agreements 11.",,,Attached Source Corpus,PDF | Downloads,document_chunk,chunk,en,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf - Page 2,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf,Page 2,Ready,"{""source_file"": ""GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_path"": ""C:\\Users\\harcol\\Downloads\\GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_type"": ""pdf"", ""unit_label"": ""Page 2"", ""unit_index"": 2, ""chunk_index"": 1, ""chunks_in_unit"": 2, ""page"": 2}"
ATTACH-00005,iality clauses? Yes. Included in employment agreements that have to be signed by every employee at time of employment. Also confidentiality clauses in our advertiser agreements 11. Do you have an easily accessible online Privacy Policy/Notice? Yes. Available on our website www.tradedoubler.com 12. Do you maintain a Personal Data Inventory? Yes 13. Is your organization ISO 27001:2013 certified? No but the ISO 27001 is the framework basis of the information security work within Tradedoubler 14. Are there data protection principles documented (handling)? Yes in various internal Policies and our External Privacy Policy 15. Do you have documented information security policies including data privacy policies and supporting procedures? Have these been approved by management? When was the policy last reviewed? Yes. Tradedoubler Privacy Policy was last revised on 5 April 2018 available on our website www.tradedoubler.com Yes. GDPR adjusted Information Security Policy and Information Security Standard approved by CEO 24 Sept 2018 available in Sharepoint under Legal/GDPR/GDPR related policies,,,Attached Source Corpus,PDF | Downloads,document_chunk,chunk,en,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf - Page 2,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf,Page 2,Ready,"{""source_file"": ""GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_path"": ""C:\\Users\\harcol\\Downloads\\GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_type"": ""pdf"", ""unit_label"": ""Page 2"", ""unit_index"": 2, ""chunk_index"": 2, ""chunks_in_unit"": 2, ""page"": 2}"
ATTACH-00006,"tradedoubler.com 16. Is Group data encrypted at rest? (all storage devices and mediums, including backups) Yes 17. Is Group data encrypted in transit? (secure transmission) Data is encrypted in transit by SSL 18. How do you protect your encryption keys? Access is strictly limited and requires two factor authentication and role privileges 19. Do you have a formal access authorization process based on 'least privilege' and ‘need to know’ principles? Examples: role-based permissions, limited access based on specific responsibilities, network access request form? Yes, the access authorization is based on role- based permissions 20. Is there a list maintained of authorized users with access (administrative access) to operating systems and Group data? Yes 21. Are systems and networks that host, process and or transfer Group data ‘protected’ (isolated or separated) from other systems and or networks? Yes 22.",,,Attached Source Corpus,PDF | Downloads,document_chunk,chunk,en,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf - Page 3,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf,Page 3,Ready,"{""source_file"": ""GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_path"": ""C:\\Users\\harcol\\Downloads\\GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_type"": ""pdf"", ""unit_label"": ""Page 3"", ""unit_index"": 3, ""chunk_index"": 1, ""chunks_in_unit"": 3, ""page"": 3}"
ATTACH-00007,"stems and Group data? Yes 21. Are systems and networks that host, process and or transfer Group data ‘protected’ (isolated or separated) from other systems and or networks? Yes 22. Do formal change management procedures exist for networks, systems, desktops, software releases, deployments, and software vulnerability, patching activities? Changes to the workstations and servers? Appropriate testing, notification, and approval? Yes. See IT User Guidelines available in Sharepoint under Legal/GDPR/GDPR related policies 23. Do you have a mechanism to back up critical IT systems and Group data? Are backups taken offsite? Yes 24. Do you have an Incident Response plan in place? How will you inform the advertiser in case of an incident? Yes. See IT Incident Management Policy and Databreach Policy below 25. What if publisher ask me about our publisher agreement and Privacy Policy? Our updated and GDPR adjusted Publisher agreement and GDPR adjusted Privacy policy can be found on our website http://www.tradedoubler.com/en/gdpr- compliance/ as well as on the publisher registration page.",,,Attached Source Corpus,PDF | Downloads,document_chunk,chunk,en,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf - Page 3,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf,Page 3,Ready,"{""source_file"": ""GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_path"": ""C:\\Users\\harcol\\Downloads\\GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_type"": ""pdf"", ""unit_label"": ""Page 3"", ""unit_index"": 3, ""chunk_index"": 2, ""chunks_in_unit"": 3, ""page"": 3}"
ATTACH-00008,ted Publisher agreement and GDPR adjusted Privacy policy can be found on our website http://www.tradedoubler.com/en/gdpr- compliance/ as well as on the publisher registration page. If you don’t accept the amended,,,Attached Source Corpus,PDF | Downloads,document_chunk,chunk,en,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf - Page 3,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf,Page 3,Ready,"{""source_file"": ""GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_path"": ""C:\\Users\\harcol\\Downloads\\GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_type"": ""pdf"", ""unit_label"": ""Page 3"", ""unit_index"": 3, ""chunk_index"": 3, ""chunks_in_unit"": 3, ""page"": 3}"
ATTACH-00009,"tradedoubler.com terms, you must immediately cease to use our service. The Publisher agreement states that Tradedoubler may change the terms by notifying publishers by e-mail or on TD’s website. if they don’t accept the changes, they must immediately cease to use the service, that’s how it’s regulated in the agreement (see section 2.4). 26. What if a publisher does not want to receive newsletters any more? GDPR stipulates the right to be forgotten, for example not to receive any direct marketing emails or newsletters anymore. We need to comply with that. GDPR does not specify how we do that. The best way to reassure a publisher will not receive newsletters is to tick the box “no” under “edit contact information”. Preferably themselves but if it does not work that the publisher teams assist them to do that 27. Does our newsletters need an unsubscribe link? The publisher has once ticked the box that they want to receive newsletters (consent) we do not need to add an “unsubscribe link” onto each newsletter we send acc to GDPR.",,,Attached Source Corpus,PDF | Downloads,document_chunk,chunk,en,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf - Page 4,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf,Page 4,Ready,"{""source_file"": ""GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_path"": ""C:\\Users\\harcol\\Downloads\\GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_type"": ""pdf"", ""unit_label"": ""Page 4"", ""unit_index"": 4, ""chunk_index"": 1, ""chunks_in_unit"": 3, ""page"": 4}"
ATTACH-00010,"be link? The publisher has once ticked the box that they want to receive newsletters (consent) we do not need to add an “unsubscribe link” onto each newsletter we send acc to GDPR. (The publisher has actively given their consent to receive newsletters and can at any point tick the box “No” under edit contact info) 28. What is your SDLC process? QA, Development, Release, support etc All development is done in a Development and UAT environment (which mirrors production). After successful testing process in UAT we release to production with handover to Second Line and Dev Ops for support. 29. How do you manage change control? We use JIRA to manage and log all change requests. Only Product Director and Head of Operations can approve change requests 30. Do you use 3rd parties in your SDLC? If so, who? No 31. Do you own the Service/Production Environment or do you use 3rd parties? If so who, and what contractual arrangements/SLAs do you have in place? We own the Production Environment. It is hosted by Evry AB. SLA is 99.95% 32.",,,Attached Source Corpus,PDF | Downloads,document_chunk,chunk,en,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf - Page 4,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf,Page 4,Ready,"{""source_file"": ""GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_path"": ""C:\\Users\\harcol\\Downloads\\GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_type"": ""pdf"", ""unit_label"": ""Page 4"", ""unit_index"": 4, ""chunk_index"": 2, ""chunks_in_unit"": 3, ""page"": 4}"
