question_id,content,canonical_question,starter_answer,category,subcategory,response_type,item_type,language,evidence_reference,source_files,source_sections,readiness_status,metadata_json
QB-0008,"Category: Architecture & Application Details. Subcategory: Architecture & Technical Profile. Question: Is the application based on a tiering model? Answer: Tradedoubler implements network segmentation, access control policies, and infrastructure security measures, which align with the principles of a tiered architecture",Is the application based on a tiering model?,"Tradedoubler implements network segmentation, access control policies, and infrastructure security measures, which align with the principles of a tiered architecture",Architecture & Application Details,Architecture & Technical Profile,yes_no,question,en,bbInformation Security Standard 2024-02-23.pdf - Section: Network Segmentation & Security (Page 12),Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A; Infrastructure Security,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Architecture & Application Details"", ""subcategory"": ""Architecture & Technical Profile"", ""response_type"": ""yes_no"", ""item_type"": ""question"", ""language"": ""en"", ""source_files"": ""Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx"", ""source_sections"": ""Extracted Q&A; Infrastructure Security"", ""evidence_reference"": ""bbInformation Security Standard 2024-02-23.pdf - Section: Network Segmentation & Security (Page 12)""}"
QB-0009,Category: Architecture & Application Details. Subcategory: Architecture & Technical Profile. Question: Is the application internally or externally facing? Answer: External,Is the application internally or externally facing?,External,Architecture & Application Details,Architecture & Technical Profile,yes_no,prompt,en,Du point de vue L'Oréal,Annexe 4_FR_Security_Review_Questionnaire.xlsm,Applications details,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Architecture & Application Details"", ""subcategory"": ""Architecture & Technical Profile"", ""response_type"": ""yes_no"", ""item_type"": ""prompt"", ""language"": ""en"", ""source_files"": ""Annexe 4_FR_Security_Review_Questionnaire.xlsm"", ""source_sections"": ""Applications details"", ""evidence_reference"": ""Du point de vue L'Oréal""}"
QB-0011,"Category: Architecture & Application Details. Subcategory: Architecture & Technical Profile. Question: What frameworks or libraries are used? Answer: Symfony, SpringBoot, VueJS",What frameworks or libraries are used?,"Symfony, SpringBoot, VueJS",Architecture & Application Details,Architecture & Technical Profile,descriptive,question,en,Précisez les versions,Annexe 4_FR_Security_Review_Questionnaire.xlsm,Applications details,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Architecture & Application Details"", ""subcategory"": ""Architecture & Technical Profile"", ""response_type"": ""descriptive"", ""item_type"": ""question"", ""language"": ""en"", ""source_files"": ""Annexe 4_FR_Security_Review_Questionnaire.xlsm"", ""source_sections"": ""Applications details"", ""evidence_reference"": ""Précisez les versions""}"
QB-0014,Category: Architecture & Application Details. Subcategory: Architecture & Technical Profile. Question: What programming language(s) are used? Answer: Java backend. Frontend mix of JavaScript and PHP,What programming language(s) are used?,Java backend. Frontend mix of JavaScript and PHP,Architecture & Application Details,Architecture & Technical Profile,descriptive,prompt,en,Précisez la version,Annexe 4_FR_Security_Review_Questionnaire.xlsm,Applications details,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Architecture & Application Details"", ""subcategory"": ""Architecture & Technical Profile"", ""response_type"": ""descriptive"", ""item_type"": ""prompt"", ""language"": ""en"", ""source_files"": ""Annexe 4_FR_Security_Review_Questionnaire.xlsm"", ""source_sections"": ""Applications details"", ""evidence_reference"": ""Précisez la version""}"
QB-0023,"Category: Asset & Information Management. Subcategory: Assets & Classification. Question: Are the changes approved by the code owner? Answer: Yes, all code changes must be approved by the designated code owner",Are the changes approved by the code owner?,"Yes, all code changes must be approved by the designated code owner",Asset & Information Management,Assets & Classification,yes_no,question,en,bbTradedoubler TOM June 2024.pdf - Section: Change Management (Page 7),Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Asset & Information Management"", ""subcategory"": ""Assets & Classification"", ""response_type"": ""yes_no"", ""item_type"": ""question"", ""language"": ""en"", ""source_files"": ""Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx"", ""source_sections"": ""Extracted Q&A"", ""evidence_reference"": ""bbTradedoubler TOM June 2024.pdf - Section: Change Management (Page 7)""}"
QB-0085,"Category: Compliance, Audit & Legal. Subcategory: Compliance & Audit. Question: Can you confirm compliance with the following requirement: Unique User Identification? Answer: Yes, Tradedoubler enforces unique user identification for all IT systems. Each employee is assigned a unique account, and access is granted based on a need-to-have basis. Multi-Factor Authentication (MFA) is required where technically possible",Can you confirm compliance with the following requirement: Unique User Identification?,"Yes, Tradedoubler enforces unique user identification for all IT systems. Each employee is assigned a unique account, and access is granted based on a need-to-have basis. Multi-Factor Authentication (MFA) is required where technically possible","Compliance, Audit & Legal",Compliance & Audit,compliance_confirmation,requirement,en,bbInformation Security Standard 2024-02-23-2.pdf - Section: User password and account management (Page 17),Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Identity and Access Management,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Compliance, Audit & Legal"", ""subcategory"": ""Compliance & Audit"", ""response_type"": ""compliance_confirmation"", ""item_type"": ""requirement"", ""language"": ""en"", ""source_files"": ""Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx"", ""source_sections"": ""Identity and Access Management"", ""evidence_reference"": ""bbInformation Security Standard 2024-02-23-2.pdf - Section: User password and account management (Page 17)""}"
QB-0135,Category: Cryptography & Key Management. Subcategory: Encryption & Keys. Question: Is Encryption at rest implemented? Answer: Full database encryption,Is Encryption at rest implemented?,Full database encryption,Cryptography & Key Management,Encryption & Keys,yes_no,question,en,Screenshot of the application's database encryption protocol.,Annexe 4_FR_Security_Review_Questionnaire.xlsm,Data Management,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Cryptography & Key Management"", ""subcategory"": ""Encryption & Keys"", ""response_type"": ""yes_no"", ""item_type"": ""question"", ""language"": ""en"", ""source_files"": ""Annexe 4_FR_Security_Review_Questionnaire.xlsm"", ""source_sections"": ""Data Management"", ""evidence_reference"": ""Screenshot of the application's database encryption protocol.""}"
QB-0140,"Category: Cryptography & Key Management. Subcategory: Encryption & Keys. Question: Is the data encrypted at rest within storage? Answer: Yes, all stored data is encrypted. AWS and Oracle cloud providers ensure compliance with ISO 27001 standards",Is the data encrypted at rest within storage?,"Yes, all stored data is encrypted. AWS and Oracle cloud providers ensure compliance with ISO 27001 standards",Cryptography & Key Management,Encryption & Keys,yes_no,question,en,bbTradedoubler TOM June 2024.pdf - Section: IT Infrastructure (Page 4),Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Cryptography & Key Management"", ""subcategory"": ""Encryption & Keys"", ""response_type"": ""yes_no"", ""item_type"": ""question"", ""language"": ""en"", ""source_files"": ""Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx"", ""source_sections"": ""Extracted Q&A"", ""evidence_reference"": ""bbTradedoubler TOM June 2024.pdf - Section: IT Infrastructure (Page 4)""}"
QB-0141,"Category: Cryptography & Key Management. Subcategory: Encryption & Keys. Question: Is the data encrypted at the network level while in transit? Answer: Yes, all data in transit is encrypted using TLS 1.2 or higher, with strong encryption ciphers",Is the data encrypted at the network level while in transit?,"Yes, all data in transit is encrypted using TLS 1.2 or higher, with strong encryption ciphers",Cryptography & Key Management,Encryption & Keys,yes_no,question,en,bbTradedoubler TOM June 2024.pdf - Section: Encryption (Page 7),Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Cryptography & Key Management"", ""subcategory"": ""Encryption & Keys"", ""response_type"": ""yes_no"", ""item_type"": ""question"", ""language"": ""en"", ""source_files"": ""Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx"", ""source_sections"": ""Extracted Q&A"", ""evidence_reference"": ""bbTradedoubler TOM June 2024.pdf - Section: Encryption (Page 7)""}"
QB-0148,"Category: Cryptography & Key Management. Subcategory: Encryption & Keys. Question: The algorithms used for the cryptography are aligned with the group requirements? Answer: Yes, Tradedoubler applies AES-128 or higher for symmetric encryption, RSA-2048 or higher for asymmetric encryption",The algorithms used for the cryptography are aligned with the group requirements?,"Yes, Tradedoubler applies AES-128 or higher for symmetric encryption, RSA-2048 or higher for asymmetric encryption",Cryptography & Key Management,Encryption & Keys,mixed,question,en,[24:1] bbTradedoubler TOM June 2024.pdf,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Cryptography,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Cryptography & Key Management"", ""subcategory"": ""Encryption & Keys"", ""response_type"": ""mixed"", ""item_type"": ""question"", ""language"": ""en"", ""source_files"": ""Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx"", ""source_sections"": ""Cryptography"", ""evidence_reference"": ""[24:1] bbTradedoubler TOM June 2024.pdf""}"
