question_id,category,subcategory,canonical_question,response_type,item_type,language,starter_answer,scope_or_conditions,evidence_reference,readiness_status,source_count,source_files,source_sections,best_answer_source_record,embedding_text,notes_for_manual_completion
QB-0008,Architecture & Application Details,Architecture & Technical Profile,Is the application based on a tiering model?,yes_no,question,en,"Tradedoubler implements network segmentation, access control policies, and infrastructure security measures, which align with the principles of a tiered architecture",,bbInformation Security Standard 2024-02-23.pdf - Section: Network Segmentation & Security (Page 12),Ready,2,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A; Infrastructure Security,SRC-0544,"Category: Architecture & Application Details. Subcategory: Architecture & Technical Profile. Question: Is the application based on a tiering model? Answer: Tradedoubler implements network segmentation, access control policies, and infrastructure security measures, which align with the principles of a tiered architecture",
QB-0009,Architecture & Application Details,Architecture & Technical Profile,Is the application internally or externally facing?,yes_no,prompt,en,External,,Du point de vue L'Oréal,Ready,1,Annexe 4_FR_Security_Review_Questionnaire.xlsm,Applications details,SRC-0632,Category: Architecture & Application Details. Subcategory: Architecture & Technical Profile. Question: Is the application internally or externally facing? Answer: External,
QB-0011,Architecture & Application Details,Architecture & Technical Profile,What frameworks or libraries are used?,descriptive,question,en,"Symfony, SpringBoot, VueJS",,Précisez les versions,Ready,1,Annexe 4_FR_Security_Review_Questionnaire.xlsm,Applications details,SRC-0626,"Category: Architecture & Application Details. Subcategory: Architecture & Technical Profile. Question: What frameworks or libraries are used? Answer: Symfony, SpringBoot, VueJS",
QB-0014,Architecture & Application Details,Architecture & Technical Profile,What programming language(s) are used?,descriptive,prompt,en,Java backend. Frontend mix of JavaScript and PHP,,Précisez la version,Ready,1,Annexe 4_FR_Security_Review_Questionnaire.xlsm,Applications details,SRC-0625,Category: Architecture & Application Details. Subcategory: Architecture & Technical Profile. Question: What programming language(s) are used? Answer: Java backend. Frontend mix of JavaScript and PHP,
QB-0023,Asset & Information Management,Assets & Classification,Are the changes approved by the code owner?,yes_no,question,en,"Yes, all code changes must be approved by the designated code owner",,bbTradedoubler TOM June 2024.pdf - Section: Change Management (Page 7),Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A,SRC-0579,"Category: Asset & Information Management. Subcategory: Assets & Classification. Question: Are the changes approved by the code owner? Answer: Yes, all code changes must be approved by the designated code owner",
QB-0085,"Compliance, Audit & Legal",Compliance & Audit,Can you confirm compliance with the following requirement: Unique User Identification?,compliance_confirmation,requirement,en,"Yes, Tradedoubler enforces unique user identification for all IT systems. Each employee is assigned a unique account, and access is granted based on a need-to-have basis. Multi-Factor Authentication (MFA) is required where technically possible",,bbInformation Security Standard 2024-02-23-2.pdf - Section: User password and account management (Page 17),Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Identity and Access Management,SRC-0503,"Category: Compliance, Audit & Legal. Subcategory: Compliance & Audit. Question: Can you confirm compliance with the following requirement: Unique User Identification? Answer: Yes, Tradedoubler enforces unique user identification for all IT systems. Each employee is assigned a unique account, and access is granted based on a need-to-have basis. Multi-Factor Authentication (MFA) is required where technically possible",
QB-0135,Cryptography & Key Management,Encryption & Keys,Is Encryption at rest implemented?,yes_no,question,en,Full database encryption,,Screenshot of the application's database encryption protocol.,Ready,1,Annexe 4_FR_Security_Review_Questionnaire.xlsm,Data Management,SRC-0599,Category: Cryptography & Key Management. Subcategory: Encryption & Keys. Question: Is Encryption at rest implemented? Answer: Full database encryption,
QB-0140,Cryptography & Key Management,Encryption & Keys,Is the data encrypted at rest within storage?,yes_no,question,en,"Yes, all stored data is encrypted. AWS and Oracle cloud providers ensure compliance with ISO 27001 standards",,bbTradedoubler TOM June 2024.pdf - Section: IT Infrastructure (Page 4),Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A,SRC-0569,"Category: Cryptography & Key Management. Subcategory: Encryption & Keys. Question: Is the data encrypted at rest within storage? Answer: Yes, all stored data is encrypted. AWS and Oracle cloud providers ensure compliance with ISO 27001 standards",
QB-0141,Cryptography & Key Management,Encryption & Keys,Is the data encrypted at the network level while in transit?,yes_no,question,en,"Yes, all data in transit is encrypted using TLS 1.2 or higher, with strong encryption ciphers",,bbTradedoubler TOM June 2024.pdf - Section: Encryption (Page 7),Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A,SRC-0570,"Category: Cryptography & Key Management. Subcategory: Encryption & Keys. Question: Is the data encrypted at the network level while in transit? Answer: Yes, all data in transit is encrypted using TLS 1.2 or higher, with strong encryption ciphers",
QB-0148,Cryptography & Key Management,Encryption & Keys,The algorithms used for the cryptography are aligned with the group requirements?,mixed,question,en,"Yes, Tradedoubler applies AES-128 or higher for symmetric encryption, RSA-2048 or higher for asymmetric encryption",,[24:1] bbTradedoubler TOM June 2024.pdf,Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Cryptography,SRC-0526,"Category: Cryptography & Key Management. Subcategory: Encryption & Keys. Question: The algorithms used for the cryptography are aligned with the group requirements? Answer: Yes, Tradedoubler applies AES-128 or higher for symmetric encryption, RSA-2048 or higher for asymmetric encryption",
QB-0158,Data Protection & Privacy,Personal Data & Retention,Are the Certificates renewed frequently?,yes_no,question,en,"system updates, vulnerability scans, and security controls are performed regularly, suggesting that certificates are likely maintained as part of this process",,bbInformation Security Standard 2024-02-23-2.pdf - Section: System Updates & Vulnerability Scans (Page 8),Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Data Protection,SRC-0520,"Category: Data Protection & Privacy. Subcategory: Personal Data & Retention. Question: Are the Certificates renewed frequently? Answer: system updates, vulnerability scans, and security controls are performed regularly, suggesting that certificates are likely maintained as part of this process",
QB-0159,Data Protection & Privacy,Personal Data & Retention,Are the logs retention aligned with B&B requirements (6 months)?,yes_no,question,en,"Yes, logs are retained according to a minimum 6-month policy as per security standards",,bbInformation Security Standard 2024-02-23.pdf - Section: Log Retention Policy (Page 19),Ready,2,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A; Logging and monitoring,SRC-0557,"Category: Data Protection & Privacy. Subcategory: Personal Data & Retention. Question: Are the logs retention aligned with B&B requirements (6 months)? Answer: Yes, logs are retained according to a minimum 6-month policy as per security standards",
QB-0184,Data Protection & Privacy,Personal Data & Retention,Is Data anonymized in non production environment?,yes_no,question,en,"Yes, Tradedoubler uses pseudonymization techniques, including encryption, when handling personal data in environments where data is at risk of exposure. This indicates anonymization is likely implemented in non-production environments",,bbTradedoubler TOM June 2024.pdf - Section: Pseudonymization (Page 8),Ready,2,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Data Protection; Extracted Q&A,SRC-0524,"Category: Data Protection & Privacy. Subcategory: Personal Data & Retention. Question: Is Data anonymized in non production environment? Answer: Yes, Tradedoubler uses pseudonymization techniques, including encryption, when handling personal data in environments where data is at risk of exposure. This indicates anonymization is likely implemented in non-production environments",
QB-0185,Data Protection & Privacy,Personal Data & Retention,Is Personal Data encrypted in transit over any network?,yes_no,question,en,All fata flows are encrypted (HTTPS only for websites),,"Certificate screenshot, or documentation showing encrypted HTTPS data transfer.",Ready,1,Annexe 4_FR_Security_Review_Questionnaire.xlsm,Data Management,SRC-0597,Category: Data Protection & Privacy. Subcategory: Personal Data & Retention. Question: Is Personal Data encrypted in transit over any network? Answer: All fata flows are encrypted (HTTPS only for websites),
QB-0187,Data Protection & Privacy,Personal Data & Retention,Is the data encrypted at application level while in transit?,yes_no,question,en,"Yes, TLS encryption is used to protect data in transit",,[24:1] bbTradedoubler TOM June 2024.pdf,Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Data Protection,SRC-0521,"Category: Data Protection & Privacy. Subcategory: Personal Data & Retention. Question: Is the data encrypted at application level while in transit? Answer: Yes, TLS encryption is used to protect data in transit",
QB-0188,Data Protection & Privacy,Personal Data & Retention,Is the data encrypted at rest within storage?,yes_no,question,en,"Yes, data processed by a cloud service provider must be encrypted at rest. Tradedoubler enforces encryption standards such as AES-128, AES-192, and AES-256 for symmetric encryption and RSA-2048, ECC-256 for asymmetric encryption",,bbInformation Security Standard 2024-02-23-2.pdf - Section: Encryption (Page 12),Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Data Protection,SRC-0517,"Category: Data Protection & Privacy. Subcategory: Personal Data & Retention. Question: Is the data encrypted at rest within storage? Answer: Yes, data processed by a cloud service provider must be encrypted at rest. Tradedoubler enforces encryption standards such as AES-128, AES-192, and AES-256 for symmetric encryption and RSA-2048, ECC-256 for asymmetric encryption",
QB-0189,Data Protection & Privacy,Personal Data & Retention,Is the data encrypted at rest within the database?,yes_no,question,en,"Yes, databases are secured in compliance with ISO 27001 standards",,[24:1] bbTradedoubler TOM June 2024.pdf,Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Data Protection,SRC-0518,"Category: Data Protection & Privacy. Subcategory: Personal Data & Retention. Question: Is the data encrypted at rest within the database? Answer: Yes, databases are secured in compliance with ISO 27001 standards",
QB-0190,Data Protection & Privacy,Personal Data & Retention,Is the data encrypted at the network level while in transit?,yes_no,question,en,"Yes, Tradedoubler enforces TLS 1.2 or higher for encrypting data in transit. Additionally, AES-128, AES-192, AES-256, and asymmetric encryption RSA-2048 and ECC-256 are used to secure transmitted data. HSTS flag must also be activated on all internet-facing TLS-based services",,bbInformation Security Standard 2024-02-23.pdf - Section: Encryption - TLS Encryption (Page 12),Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Data Protection,SRC-0522,"Category: Data Protection & Privacy. Subcategory: Personal Data & Retention. Question: Is the data encrypted at the network level while in transit? Answer: Yes, Tradedoubler enforces TLS 1.2 or higher for encrypting data in transit. Additionally, AES-128, AES-192, AES-256, and asymmetric encryption RSA-2048 and ECC-256 are used to secure transmitted data. HSTS flag must also be activated on all internet-facing TLS-based services",
QB-0191,Data Protection & Privacy,Personal Data & Retention,Is the data encrypted in transit using trusted certificates?,yes_no,question,en,"Yes, data in transit is protected using TLS 1.2 or higher",,[24:1] bbTradedoubler TOM June 2024.pdf,Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Data Protection,SRC-0519,"Category: Data Protection & Privacy. Subcategory: Personal Data & Retention. Question: Is the data encrypted in transit using trusted certificates? Answer: Yes, data in transit is protected using TLS 1.2 or higher",
QB-0296,Identity & Access Management,User & Privileged Access,Are locking and logging off mechanisms implemented for inactive sessions?,yes_no,question,en,"Yes, session timeout and auto-lock mechanisms are implemented",,[24:4] bbInformation Security Standard 2024-02-23.pdf,Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Identity and Access Management,SRC-0508,"Category: Identity & Access Management. Subcategory: User & Privileged Access. Question: Are locking and logging off mechanisms implemented for inactive sessions? Answer: Yes, session timeout and auto-lock mechanisms are implemented",
QB-0302,Identity & Access Management,User & Privileged Access,Are the Administrators connecting with MFA?,yes_no,question,en,"Yes, multi-factor authentication is mandatory for administrators",,[24:1] bbTradedoubler TOM June 2024.pdf,Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Infrastructure Security,SRC-0548,"Category: Identity & Access Management. Subcategory: User & Privileged Access. Question: Are the Administrators connecting with MFA? Answer: Yes, multi-factor authentication is mandatory for administrators",
QB-0303,Identity & Access Management,User & Privileged Access,Are the active sessions disabled after any change to the password?,yes_no,question,en,"Yes, active sessions are invalidated after a password change",,[24:4] bbInformation Security Standard 2024-02-23.pdf,Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Identity and Access Management,SRC-0509,"Category: Identity & Access Management. Subcategory: User & Privileged Access. Question: Are the active sessions disabled after any change to the password? Answer: Yes, active sessions are invalidated after a password change",
QB-0304,Identity & Access Management,User & Privileged Access,Are the profiles defined aligned with the least privilege concept?,yes_no,question,en,"Yes, Tradedoubler enforces the Least Privilege Principle, ensuring users have only the necessary access for their job. System administrators must ensure users log in only with their own credentials",,bbInformation Security Standard 2024-02-23-1.pdf - Section: Least Privilege Principle (Page 17),Ready,2,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A; Identity and Access Management,SRC-0513,"Category: Identity & Access Management. Subcategory: User & Privileged Access. Question: Are the profiles defined aligned with the least privilege concept? Answer: Yes, Tradedoubler enforces the Least Privilege Principle, ensuring users have only the necessary access for their job. System administrators must ensure users log in only with their own credentials",
QB-0320,Identity & Access Management,User & Privileged Access,Can you confirm compliance with the following requirement: Centralization of authentication directory?,compliance_confirmation,requirement,en,Tradedoubler uses a centralized Active Directory for user and IT access management,,[24:3] bbAccess Right Management Standard 20240112.pdf,Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Identity and Access Management,SRC-0504,Category: Identity & Access Management. Subcategory: User & Privileged Access. Question: Can you confirm compliance with the following requirement: Centralization of authentication directory? Answer: Tradedoubler uses a centralized Active Directory for user and IT access management,
QB-0351,Identity & Access Management,User & Privileged Access,Generic accounts must not be authorized unless accountability can be established.,mixed,question,en,IT & Business : No,,Extract of Business users and IT users of the application,Ready,1,Annexe 4_FR_Security_Review_Questionnaire.xlsm,Access management,SRC-0614,Category: Identity & Access Management. Subcategory: User & Privileged Access. Question: Generic accounts must not be authorized unless accountability can be established. Answer: IT & Business : No,
QB-0383,Identity & Access Management,User & Privileged Access,"Is the password entered in clear text and aligned with the customer password policy? (*see sheet ""Password policy"")?",yes_no,question,en,"No, passwords must not be stored in clear text. They must meet complexity requirements, including a minimum of 10 characters, numbers, and special characters. Additionally, passwords must not be stored in browsers or written down",,bbInformation Security Standard 2024-02-23-1.pdf - Section: User Password and Account Management (Page 14),Ready,2,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A; Identity and Access Management,SRC-0506,"Category: Identity & Access Management. Subcategory: User & Privileged Access. Question: Is the password entered in clear text and aligned with the customer password policy? (*see sheet ""Password policy"")? Answer: No, passwords must not be stored in clear text. They must meet complexity requirements, including a minimum of 10 characters, numbers, and special characters. Additionally, passwords must not be stored in browsers or written down",
QB-0387,Identity & Access Management,User & Privileged Access,Is the session token using a strong cryptographic mechanism?,yes_no,question,en,"Tradedoubler enforces strong encryption mechanisms such as AES-128, AES-256, RSA-2048, and SHA2-384 for data protection. It is likely that strong cryptographic mechanisms are used for tokens, but there is no direct reference",,bbInformation Security Standard 2024-02-23.pdf - Section: Encryption (Page 12),Ready,2,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A; Identity and Access Management,SRC-0511,"Category: Identity & Access Management. Subcategory: User & Privileged Access. Question: Is the session token using a strong cryptographic mechanism? Answer: Tradedoubler enforces strong encryption mechanisms such as AES-128, AES-256, RSA-2048, and SHA2-384 for data protection. It is likely that strong cryptographic mechanisms are used for tokens, but there is no direct reference",
QB-0388,Identity & Access Management,User & Privileged Access,Is the user authenticated according to the classification of the asset? Multi-factor authentication must be deployed for assets containing sensitive information.?,yes_no,question,en,"Yes, Multi-Factor Authentication (MFA) is required where technically possible for IT services and user authentication",,bbTradedoubler TOM June 2024.pdf - Section: User Access and Authentication (Page 4),Ready,2,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A; Identity and Access Management,SRC-0505,"Category: Identity & Access Management. Subcategory: User & Privileged Access. Question: Is the user authenticated according to the classification of the asset? Multi-factor authentication must be deployed for assets containing sensitive information.? Answer: Yes, Multi-Factor Authentication (MFA) is required where technically possible for IT services and user authentication",
QB-0390,Identity & Access Management,User & Privileged Access,Is there any process for the deactivation of the accounts?,yes_no,question,en,"Yes, a structured process is in place for user account deactivation, including a formal request system and permanent deletion within one month of termination",,bbAccess Right Management Standard 20240112.pdf - Section: Account Deactivation Process (Page 4),Ready,2,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A; Identity and Access Management,SRC-0516,"Category: Identity & Access Management. Subcategory: User & Privileged Access. Question: Is there any process for the deactivation of the accounts? Answer: Yes, a structured process is in place for user account deactivation, including a formal request system and permanent deletion within one month of termination",
QB-0391,Identity & Access Management,User & Privileged Access,Is there is any process defined for the management of the accounts and their authorizations?,yes_no,question,en,"Yes, User Access Management is structured and involves request approvals, access reviews, and role-based access controls (RBAC). Account creation and modification require validation from management",,bbAccess Right Management Standard 20240112.pdf - Section: User Management Process (Page 3),Ready,2,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A; Identity and Access Management,SRC-0515,"Category: Identity & Access Management. Subcategory: User & Privileged Access. Question: Is there is any process defined for the management of the accounts and their authorizations? Answer: Yes, User Access Management is structured and involves request approvals, access reviews, and role-based access controls (RBAC). Account creation and modification require validation from management",
QB-0401,Identity & Access Management,User & Privileged Access,Regular review of Business accounts every 6 months,mixed,question,en,Every 6 months,,"Email with account management log screenshot. Third-party procedure. Documentation of the IT access review, identified anomalies, and defined action plan.",Ready,1,Annexe 4_FR_Security_Review_Questionnaire.xlsm,Access management,SRC-0620,Category: Identity & Access Management. Subcategory: User & Privileged Access. Question: Regular review of Business accounts every 6 months Answer: Every 6 months,
QB-0402,Identity & Access Management,User & Privileged Access,Regular review of IT accounts every 6 months,mixed,question,en,Every 6 months,,"Email with account management log screenshot. Third-party procedure. Documentation of the IT access review, identified anomalies, and defined action plan.",Ready,1,Annexe 4_FR_Security_Review_Questionnaire.xlsm,Access management,SRC-0619,Category: Identity & Access Management. Subcategory: User & Privileged Access. Question: Regular review of IT accounts every 6 months Answer: Every 6 months,
QB-0439,"Logging, Monitoring & Detection",Logging & Monitoring,"Are all access attempts, accesses, and access requests to applications and resources traced, stored, and backed up?",yes_no,question,en,Traced & Stored & Back-up,,"Screenshot showing enabled application logs for personal data access/modification, and the last 6 months of access/modification logs.",Ready,1,Annexe 4_FR_Security_Review_Questionnaire.xlsm,Security Monitoring,SRC-0610,"Category: Logging, Monitoring & Detection. Subcategory: Logging & Monitoring. Question: Are all access attempts, accesses, and access requests to applications and resources traced, stored, and backed up? Answer: Traced & Stored & Back-up",
QB-0446,"Logging, Monitoring & Detection",Logging & Monitoring,Are the logs centralized?,yes_no,question,en,"Yes, all logs are centrally stored and monitored for security and compliance purposes",,bbInformation Security Standard 2024-02-23.pdf - Section: Centralized Logging (Page 19),Ready,2,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A; Logging and monitoring,SRC-0558,"Category: Logging, Monitoring & Detection. Subcategory: Logging & Monitoring. Question: Are the logs centralized? Answer: Yes, all logs are centrally stored and monitored for security and compliance purposes",
QB-0447,"Logging, Monitoring & Detection",Logging & Monitoring,Are the logs containing Sensitive Data?,yes_no,question,en,"No, logs must not contain sensitive data",,[24:4] bbInformation Security Standard 2024-02-23.pdf,Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Software Development Lifecycle,SRC-0536,"Category: Logging, Monitoring & Detection. Subcategory: Logging & Monitoring. Question: Are the logs containing Sensitive Data? Answer: No, logs must not contain sensitive data",
QB-0448,"Logging, Monitoring & Detection",Logging & Monitoring,Are the logs protected to any unauthorized access and tampering?,yes_no,question,en,"Yes, access controls and integrity checks are applied",,[24:4] bbInformation Security Standard 2024-02-23.pdf,Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Logging and monitoring,SRC-0556,"Category: Logging, Monitoring & Detection. Subcategory: Logging & Monitoring. Question: Are the logs protected to any unauthorized access and tampering? Answer: Yes, access controls and integrity checks are applied",
QB-0449,"Logging, Monitoring & Detection",Logging & Monitoring,Are the logs stored outside the application?,yes_no,question,en,"Yes, logs are stored in a separate system to prevent tampering",,[24:4] bbInformation Security Standard 2024-02-23.pdf,Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Logging and monitoring,SRC-0555,"Category: Logging, Monitoring & Detection. Subcategory: Logging & Monitoring. Question: Are the logs stored outside the application? Answer: Yes, logs are stored in a separate system to prevent tampering",
QB-0451,"Logging, Monitoring & Detection",Logging & Monitoring,Are the sensitive activities logged?,yes_no,question,en,"Yes, sensitive activities are logged, and logs are protected from unauthorized modifications",,bbInformation Security Standard 2024-02-23.pdf - Section: Logging and Monitoring (Page 19),Ready,2,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A; Logging and monitoring,SRC-0554,"Category: Logging, Monitoring & Detection. Subcategory: Logging & Monitoring. Question: Are the sensitive activities logged? Answer: Yes, sensitive activities are logged, and logs are protected from unauthorized modifications",
QB-0477,"Logging, Monitoring & Detection",Logging & Monitoring,Is access to the application restricted?,yes_no,question,en,"Yes, access to applications is strictly restricted to authorized users, enforced by authentication mechanisms",,bbTradedoubler TOM June 2024.pdf - Section: Access Control (Page 4),Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Logging and monitoring,SRC-0552,"Category: Logging, Monitoring & Detection. Subcategory: Logging & Monitoring. Question: Is access to the application restricted? Answer: Yes, access to applications is strictly restricted to authorized users, enforced by authentication mechanisms",
QB-0479,"Logging, Monitoring & Detection",Logging & Monitoring,Is the access to the database of the application and the technical platform logged?,yes_no,question,en,"Yes, all database accesses are logged",,[24:4] bbInformation Security Standard 2024-02-23.pdf,Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Logging and monitoring,SRC-0553,"Category: Logging, Monitoring & Detection. Subcategory: Logging & Monitoring. Question: Is the access to the database of the application and the technical platform logged? Answer: Yes, all database accesses are logged",
QB-0497,Network & Communications Security,Network Controls,Is access to the application restricted?,yes_no,question,en,"Yes, access to applications is strictly restricted to authorized users, enforced by authentication mechanisms",,bbTradedoubler TOM June 2024.pdf - Section: Access Control (Page 4),Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A,SRC-0587,"Category: Network & Communications Security. Subcategory: Network Controls. Question: Is access to the application restricted? Answer: Yes, access to applications is strictly restricted to authorized users, enforced by authentication mechanisms",
QB-0499,Network & Communications Security,Network Controls,Is the application Protected with WAF?,yes_no,question,en,"Yes, a Web Application Firewall (WAF) is in place",,[24:1] bbTradedoubler TOM June 2024.pdf,Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Infrastructure Security,SRC-0550,"Category: Network & Communications Security. Subcategory: Network Controls. Question: Is the application Protected with WAF? Answer: Yes, a Web Application Firewall (WAF) is in place",
QB-0501,Network & Communications Security,Network Controls,Is the application protected against DDOS?,yes_no,question,en,"Yes, DDoS protection mechanisms are implemented",,[24:1] bbTradedoubler TOM June 2024.pdf,Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Infrastructure Security,SRC-0551,"Category: Network & Communications Security. Subcategory: Network Controls. Question: Is the application protected against DDOS? Answer: Yes, DDoS protection mechanisms are implemented",
QB-0511,Other / Review Needed,Review Needed,Are the Production and Non-Production environments separated?,yes_no,question,en,"Yes, production and non-production environments are strictly separated",,bbTradedoubler TOM June 2024.pdf - Section: IT Infrastructure (Page 4),Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A,SRC-0582,"Category: Other / Review Needed. Subcategory: Review Needed. Question: Are the Production and Non-Production environments separated? Answer: Yes, production and non-production environments are strictly separated",
QB-0517,Other / Review Needed,Review Needed,Quels sont les systèmes d'exploitation utilisés?,mixed,question,fr,Linux (Specify Distribution),,Préciser la version,Ready,1,Annexe 4_FR_Security_Review_Questionnaire.xlsm,Applications details,SRC-0622,Category: Other / Review Needed. Subcategory: Review Needed. Question: Quels sont les systèmes d'exploitation utilisés? Answer: Linux (Specify Distribution),
QB-0527,Secure Development & Change Management,SDLC & Change Control,Are the Production and Non Production environments separated?,yes_no,question,en,"Yes, Tradedoubler enforces strict separation between production and non-production environments to minimize security risks and prevent unauthorized access",,bbInformation Security Standard 2024-02-23.pdf - Section: Separation of Environments (Page 10),Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Infrastructure Security,SRC-0543,"Category: Secure Development & Change Management. Subcategory: SDLC & Change Control. Question: Are the Production and Non Production environments separated? Answer: Yes, Tradedoubler enforces strict separation between production and non-production environments to minimize security risks and prevent unauthorized access",
