question_id,content,canonical_question,starter_answer,category,subcategory,response_type,item_type,language,evidence_reference,source_files,source_sections,readiness_status,metadata_json
TD-TOM24-0001,"2 General This document outlines the technical and organizational measures (TOM’s) implemented for secure and compliant processing of personal data in adherence with applicable data protection laws. This document also describes the information security and IT security work at Tradedoubler, since the technical and organizational measures for data protection are closely related to the overarching security measures and processes within Tradedoubler. Therefore, the data protection measures cannot be separated from the information and IT security measures. The ISO 27001 framework and the General Data Protection Regulation (GDPR) are the basis for the information security work within Tradedoubler. How Tradedoubler ensures the rights of data subjects and requirements of the articles 24, 25 and 32 of GDPR to the extent applicable are described in this document. As well as how Tradedoubler ensure the confidentiality, integrity and availability of information handled within the organization.",,,Technical and Organizational Measures,Page 2,document_chunk,chunk,en,Tradedoubler TOM June 2024.pdf - Page 2,Tradedoubler TOM June 2024.pdf,Page 2,Ready,"{""source_file"": ""Tradedoubler TOM June 2024.pdf"", ""doc_title"": ""Tradedoubler TOM June 2024"", ""page"": 2, ""chunk_on_page"": 1, ""chunks_on_page"": 4}"
TD-TOM24-0002,"extent applicable are described in this document. As well as how Tradedoubler ensure the confidentiality, integrity and availability of information handled within the organization. This document follows an ISO/IEC 27001 structure for description of technical and organizational measures. Roles and Responsibilities The following roles are key stakeholders for technical and organizational measures within Tradedoubler: • Chief Executive Officer (CEO): Ultimately responsible for the information security work within the Tradedoubler Group. The day-to-day management of security matters is delegated to the Chief Information Security Officer (CISO). • Chief Information Security Officer (CISO): Responsible for monitoring and follow up the Product Department’s work to ensure and improve quality of the information security. • Engineering Leadership: Responsible for strategic IT decisions and daily IT operations, as well as for implementing agreed information security and data protection measures in the IT environment and operations.",,,Technical and Organizational Measures,Page 2,document_chunk,chunk,en,Tradedoubler TOM June 2024.pdf - Page 2,Tradedoubler TOM June 2024.pdf,Page 2,Ready,"{""source_file"": ""Tradedoubler TOM June 2024.pdf"", ""doc_title"": ""Tradedoubler TOM June 2024"", ""page"": 2, ""chunk_on_page"": 2, ""chunks_on_page"": 4}"
TD-TOM24-0003,"sible for strategic IT decisions and daily IT operations, as well as for implementing agreed information security and data protection measures in the IT environment and operations. • Compliance & Legal Director: Has the overall responsibility to ensure that Tradedoubler complies with GDPR, including providing updates to the organisation regarding changes in regulations and standards. Within the roles tasks lies the performance of annual GDPR staff awareness training, reporting of any data breaches to Management and Data Authorities, managing all legal requirements and contracts (e.g., Data Processing Agreements) in connection with GDPR as well as approval of Data Protection Impact Assessments (DPIA’s). The Legal & Compliance also makes decisions on annual GDPR audits of subprocessors and publishers. • Data Protection Officer (DPO): Tradedoubler has appointed a DPO who provides advice on data privacy issues and supports the organization with reviews and improvement of the technical and organizational measures.",,,Technical and Organizational Measures,Page 2,document_chunk,chunk,en,Tradedoubler TOM June 2024.pdf - Page 2,Tradedoubler TOM June 2024.pdf,Page 2,Ready,"{""source_file"": ""Tradedoubler TOM June 2024.pdf"", ""doc_title"": ""Tradedoubler TOM June 2024"", ""page"": 2, ""chunk_on_page"": 3, ""chunks_on_page"": 4}"
TD-TOM24-0004,"Tradedoubler has appointed a DPO who provides advice on data privacy issues and supports the organization with reviews and improvement of the technical and organizational measures. The DPO supports Compliance & Legal Director with DPIA’s, prospects and client data security",,,Technical and Organizational Measures,Page 2,document_chunk,chunk,en,Tradedoubler TOM June 2024.pdf - Page 2,Tradedoubler TOM June 2024.pdf,Page 2,Ready,"{""source_file"": ""Tradedoubler TOM June 2024.pdf"", ""doc_title"": ""Tradedoubler TOM June 2024"", ""page"": 2, ""chunk_on_page"": 4, ""chunks_on_page"": 4}"
TD-TOM24-0005,"3 questionnaires, GDPR audits of publishers, updating of data processing records, client FAQ and list of subprocessors. The DPO also monitors Tradedoubler’s DPO email inbox. The DPO reports to the Compliance & Legal Director and can be reached at dpo@tradedoubler.com. • Security Council: The security council meetings are a monthly activity in which identified information security risks, including GDPR, are discussed, addressed, and actioned. Present during these meetings is the Chief Information Security Officer (CISO), Compliance & Legal Director, Head of Corp IT, DPO and an external subject matter expert. All security related incidents within Tradedoubler shall be reported to the Compliance & Legal Director or the CISO. Policies for Information Security and Data Protection Tradedoubler’s overall work with information security and data protection uses ISO27001 as a framework basis. Tradedoubler operates an Information Security Management System (ISMS) which is annually reviewed and revised if needed.",,,Technical and Organizational Measures,Page 3,document_chunk,chunk,en,Tradedoubler TOM June 2024.pdf - Page 3,Tradedoubler TOM June 2024.pdf,Page 3,Ready,"{""source_file"": ""Tradedoubler TOM June 2024.pdf"", ""doc_title"": ""Tradedoubler TOM June 2024"", ""page"": 3, ""chunk_on_page"": 1, ""chunks_on_page"": 3}"
TD-TOM24-0006,"ity and data protection uses ISO27001 as a framework basis. Tradedoubler operates an Information Security Management System (ISMS) which is annually reviewed and revised if needed. Tradedoubler have amongst others the following documents in place in the ISMS: • Information Security Policy • Information Security Standard • Access Right Management Standard • Incident Management Standard • Databreach Policy • Business Continuity Standard • Information Classification Guidelines • IT User Guidelines Classification and Handling of Information and Personal Data Tradedoubler treats all data that can contain personal information as confidential. This data may not be delivered nor shared to external parties without written approval from the Compliance & Legal Director or DPO. Questions regarding what personal data we store, extraction of personal data and the right to be forgotten should be addressed to privacy@tradedoubler.com or dpo@tradedoubler.com.",,,Technical and Organizational Measures,Page 3,document_chunk,chunk,en,Tradedoubler TOM June 2024.pdf - Page 3,Tradedoubler TOM June 2024.pdf,Page 3,Ready,"{""source_file"": ""Tradedoubler TOM June 2024.pdf"", ""doc_title"": ""Tradedoubler TOM June 2024"", ""page"": 3, ""chunk_on_page"": 2, ""chunks_on_page"": 3}"
TD-TOM24-0007,"Questions regarding what personal data we store, extraction of personal data and the right to be forgotten should be addressed to privacy@tradedoubler.com or dpo@tradedoubler.com. Routines for handling personal data is performed according to the following Tradedoubler policies with the aim to ensure compliance with GDPR: • External Privacy Policy • Accounting & Personal Data Policy • GDPR Client Policy • Human Resources & Personal Data Policy Tradedoubler utilizes the principle of privacy by design and by default and only collects personal data necessary to provide its services. Personal data is only kept for as long as it is relevant and deleted or destroyed when not needed.",,,Technical and Organizational Measures,Page 3,document_chunk,chunk,en,Tradedoubler TOM June 2024.pdf - Page 3,Tradedoubler TOM June 2024.pdf,Page 3,Ready,"{""source_file"": ""Tradedoubler TOM June 2024.pdf"", ""doc_title"": ""Tradedoubler TOM June 2024"", ""page"": 3, ""chunk_on_page"": 3, ""chunks_on_page"": 3}"
TD-TOM24-0008,"4 Printed documents including personal data are kept in safe locations, such as a locked cabinets, when not in use and never left unattended when in use. When documents are not needed anymore, they are placed in locked destruction bins for privacy material. The bins are handled by an external party which is the only one with a key to the locks to the bins. The bins are exchanged and emptied with supervision from the Office Manager. Confidentiality, Integrity, Availability and Resilience (Art. 32 (1)(a-c) GDPR) IT Infrastructure Tradedoubler has outsourced server hosting to Tradedoubler’s cloud hosting providers, AWS and Oracle. The cloud hosting providers stores and process our personal data at their data centers, both located in Frankfurt, Germany. Tradedoubler’s cloud hosting providers undergoes regular security audits and holds certifications including ISO27001 and SOC II. These certifications confirm that implemented physical, environmental and infrastructural safeguards at the cloud hosting providers sites are adequate and independently verified.",,,Technical and Organizational Measures,Page 4,document_chunk,chunk,en,Tradedoubler TOM June 2024.pdf - Page 4,Tradedoubler TOM June 2024.pdf,Page 4,Ready,"{""source_file"": ""Tradedoubler TOM June 2024.pdf"", ""doc_title"": ""Tradedoubler TOM June 2024"", ""page"": 4, ""chunk_on_page"": 1, ""chunks_on_page"": 3}"
TD-TOM24-0009,". These certifications confirm that implemented physical, environmental and infrastructural safeguards at the cloud hosting providers sites are adequate and independently verified. For more information regarding the cloud providers certifications, please see: Oracle: https://www.oracle.com/corporate/cloud-compliance/ AWS: https://aws.amazon.com/compliance/programs/ User Access and Authentication Tradedoubler has implemented the following measures for user access and authentication to information assets: • Audits of user accounts is performed monthly. • Every employee receives a unique account to IT services that is protected by strong passwords. • Administrator passwords are bound to stronger passwords. • Passwords are not allowed to be written on notes. • Multi-factor authentication is utilized for all logins where technically possible. • Access to systems and information is provided on a need-to-have basis for performing work duties. • All access to physical offices is protected using CCTV surveillance and visual badge display.",,,Technical and Organizational Measures,Page 4,document_chunk,chunk,en,Tradedoubler TOM June 2024.pdf - Page 4,Tradedoubler TOM June 2024.pdf,Page 4,Ready,"{""source_file"": ""Tradedoubler TOM June 2024.pdf"", ""doc_title"": ""Tradedoubler TOM June 2024"", ""page"": 4, ""chunk_on_page"": 2, ""chunks_on_page"": 3}"
TD-TOM24-0010,"tems and information is provided on a need-to-have basis for performing work duties. • All access to physical offices is protected using CCTV surveillance and visual badge display. Clear Desk Policy Tradedoubler has implemented a clear desk policy which includes the following: • Workstations and mobile devices are locked when left unattended during ordinary work hours. • Mobile devices are not left unattended outside of ordinary work hours, they are taken home or placed in locked cabinets. • Sensitive offline information, such as contracts, software specifications, notes and documents, is kept in secure storage when not in use. • Desks are cleared before hosting visits from non-Tradedoubler personnel.",,,Technical and Organizational Measures,Page 4,document_chunk,chunk,en,Tradedoubler TOM June 2024.pdf - Page 4,Tradedoubler TOM June 2024.pdf,Page 4,Ready,"{""source_file"": ""Tradedoubler TOM June 2024.pdf"", ""doc_title"": ""Tradedoubler TOM June 2024"", ""page"": 4, ""chunk_on_page"": 3, ""chunks_on_page"": 3}"
